estacion_code,Estado_ultima_semana,calidad_ultima_reportada,dias_desde_ultima_cal1,dias_desde_ultima_actividad,fecha_ultima_actividad,hora_ultima_actividad
sn_1049,ACTIVA,cal2,0.0,0.0,2026-04-06,20:08:00
sp_176,ACTIVA,cal1,,0.0,2026-04-07,10:12:00
sp_174,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_173,ACTIVA,cal1,,0.0,2026-04-07,10:12:00
sp_172,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_171,ACTIVA,cal1,,0.0,2026-04-07,10:10:00
sp_170,ACTIVA,cal1,,0.0,2026-04-07,10:10:00
sp_169,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sp_168,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_167,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_166,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_165,ACTIVA,cal1,,0.0,2026-04-07,10:10:00
sp_164,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_163,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sp_162,ACTIVA,cal1,,0.0,2026-04-07,10:12:00
sp_161,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sp_160,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sp_159,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sp_157,ACTIVA,cal1,,0.0,2026-04-07,10:10:00
sp_156,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_155,ACTIVA,cal1,,0.0,2026-04-07,10:09:00
sp_151,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_150,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_149,ACTIVA,cal1,,0.0,2026-04-07,06:41:00
sp_146,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_145,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_143,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_142,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_141,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_140,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_139,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_137,ACTIVA,cal1,,0.0,2026-04-07,10:10:00
sp_135,ACTIVA,cal1,,0.0,2026-04-07,09:21:00
sp_134,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_133,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_132,ACTIVA,cal1,,0.0,2026-04-07,09:46:00
sp_131,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_109,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_108,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_104,ACTIVA,cal1,,0.0,2026-04-07,10:13:00
sp_103,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_102,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sp_101,ACTIVA,cal1,,0.0,2026-04-07,10:11:00
sn_1059,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1058,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1056,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1055,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1054,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1053,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1052,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1051,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1050,ACTIVA,cal1,,0.0,2026-04-07,10:18:00
sn_1048,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1047,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1046,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1045,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1044,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1042,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1041,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1040,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1039,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1038,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sn_1037,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1036,ACTIVA,cal1,,0.0,2026-04-07,09:48:00
sn_1035,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1034,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1033,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1031,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1030,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1023,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1021,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1019,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1018,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sn_1016,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sn_1015,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1014,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1013,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1012,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1011,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1010,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sn_1008,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1007,ACTIVA,cal1,,0.0,2026-04-07,10:15:00
sn_1004,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sn_1003,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sn_1002,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sn_1001,ACTIVA,cal1,,0.0,2026-04-07,10:14:00
sm_516,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_515,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_514,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_513,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_512,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_511,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_510,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_509,ACTIVA,cal1,,0.0,2026-04-07,03:26:00
sm_507,ACTIVA,cal1,,0.0,2026-04-07,10:17:00
sm_506,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
sm_505,ACTIVA,cal1,,0.0,2026-04-07,10:16:00
